sample_id,cluster,umap_1,umap_2
844,10,12.461668,1.8241698
845,7,-1.0928031,4.1124263
846,2,10.173236,9.812668
847,6,1.8218862,4.09695
848,1,8.6969795,10.223913
849,7,-1.4856929,2.6669688
850,0,-3.6814823,6.2425966
851,10,12.862948,0.43207368
852,0,-4.5316353,6.173224
853,5,11.709926,-1.2230111
854,9,13.709198,-1.3297417
855,4,9.846022,4.711038
856,5,11.139746,-0.8305376
857,6,3.292062,3.1543257
858,4,9.39799,4.706244
859,6,2.7011695,3.179156
860,10,13.955662,0.662067
861,4,9.486831,4.5215096
862,1,8.5330305,10.365377
863,9,14.288869,-1.4313966
864,7,-1.3782755,2.9990892
865,2,11.12787,9.341112
866,7,-1.0936078,3.7011821
867,6,3.0969496,2.910499
868,-1,0.5225693,4.041974
869,-1,0.3269918,4.2444715
870,0,-4.465998,6.6065454
871,8,1.0548338,1.5271894
872,10,12.853948,1.63283
873,0,-3.2539492,6.228639
874,6,1.9424987,3.205857
875,9,13.508684,-1.3881017
876,-1,12.836319,-1.4764729
877,5,12.138097,-0.75878984
878,0,-3.5032365,6.8221164
879,-1,2.2494907,4.531073
880,6,3.3496947,3.0591946
881,7,-0.88627297,2.8499036
882,0,-3.9874353,5.6605334
883,-1,12.094377,1.0348303
884,2,11.250169,9.1966915
885,6,3.4509022,2.847281
886,7,-0.74686897,4.900326
887,0,-4.000035,6.147593
888,10,13.21045,1.8760333
889,7,-1.4604032,2.6882596
890,1,8.621046,10.267654
891,7,-0.97116524,4.3374443
892,1,8.57664,10.274798
